filename,masterCategory,garment,url,description
long_sleeve_dress_555.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/01b0763a-8cb6-4fcd-b7d6-cacac74501dc.jpeg?h=368&w=240&dpr=2,"woman wearing a pink, sleeveless, loose-fitting top with a scooped neckline."
long_sleeve_dress_1347.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/fc129972-a686-49a0-9dab-0bc3e17b7973.jpeg?h=368&w=240&dpr=2,"a woman wearing a fitted, blue and white plaid button-up shirt with a collar."
long_sleeve_dress_1330.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/042c3880-6504-4794-9c3c-a0c7959f50a7.jpeg?h=368&w=240&dpr=2,"a woman wearing a dark, fitted blazer with lapels and a single-breasted style."
long_sleeve_dress_651.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/0a4a1884-c415-4b10-b3b2-36a3d0ff2854.jpeg?h=368&w=240&dpr=2,"woman wearing a black, sleeveless, midi-length dress with a scoop neckline and flared skirt."
long_sleeve_dress_1526.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/781e8a22-a6d0-4c4e-b78e-145e3a8b167d.jpeg?h=368&w=240&dpr=2,woman wearing a bright red sleeveless formal dress with a glossy finish and some pleating detail.
long_sleeve_dress_1856.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/2a61ccc4-7d71-49e0-89b8-74bdc0c10e1c.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_1610.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/0f0302b6-3ae6-48df-82bf-336cb7992cd9.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_596.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/98f28393-563c-4584-8ad2-e661c460b388.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_1124.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/45b784e4-2483-416a-8b38-3c047e5531c2.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_2310.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/48769a54-7253-47d0-a3f3-e6cb9731016c.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_678.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/773825eb-0238-4d1b-8c72-9ed16ff6ae8a.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_2255.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/153353a9-d7e8-4b34-af8d-6b791b560035.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_1442.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/b25768c2-f6e9-4d3c-9378-33b2d32e10d1.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_247.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/4e6c1846-3bcb-4a1f-9f63-fe7070a84148.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_134.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/32bf4204-3db3-408b-b369-3fd3a70f710d.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_2276.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/2dd03821-9175-4243-b3d3-edb1137f74bb.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_290.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/35c4555f-4580-43a5-9e0f-e9b187199e81.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_252.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/e94582b8-7ad6-43d6-980c-45757f69c7e6.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_1444.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/29c5e718-c5ba-4f1b-853e-96ec68fc6d8b.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_2025.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/1daa8a6a-c750-439d-8e5c-328eca96a8ea.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_2090.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/1a78fc25-6353-4680-8c4a-aaab8704ff23.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_44.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/c90dd768-1096-44e7-919e-425838faa214.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_564.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/3aeaafd6-4152-4486-872c-729f74b000b1.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_218.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/67501e56-fec6-489f-9e90-1489e021911a.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_350.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/aa7d6457-0e74-41c4-9c91-85ad3380a33a.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_1949.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/64a520a5-5a2f-4421-b014-40b4e8123dea.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_857.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/35a30285-3e87-4592-a604-74ec8a30abbe.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_978.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/8edd95de-e69b-4ca9-828f-9cbbd7a1f705.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_707.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/d0eefe3e-aabd-49ab-b251-c54b2c001dc5.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_2055.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/b1da2644-6844-4ed7-b0dc-492eab31a093.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_342.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/1c9d792a-6c57-464d-9139-ea434ce22dbf.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_2145.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/a92c7134-80c3-4823-a587-e58987979344.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_1875.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/c692b0ee-2257-4c87-8c47-8011c29f6e8a.jpeg?h=368&w=240&dpr=2,image download failed
long_sleeve_dress_1564.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/3880ec82-4508-419e-836b-76eb708dafda.jpeg?h=368&w=240&dpr=2,"woman wearing a black maxi dress with long sleeves, a round neckline, and a cinched waist. the skirt is slightly asymmetrical, and the fabric appears to be a smooth, possibly jersey knit."
long_sleeve_dress_111.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/7525a110-ff53-4c8e-ad21-8b63675b0030.jpeg?h=368&w=240&dpr=2,"woman wearing a tiered, floor-length white dress with a blue floral pattern.  it has a fitted bodice, short puff sleeves, and a square neckline. the fabric appears to be lightweight and sheer."
long_sleeve_dress_179.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/16bbc6ce-64fe-47cc-a1a7-106a3e2398ae.jpeg?h=368&w=240&dpr=2,"a black, form-fitting midi dress with a collared neckline and a front button placket, worn by a woman.  the fabric appears to be a leather or leather-like material.  the dress is cinched at the waist and has a slightly gathered effect."
long_sleeve_dress_1456.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/9c1ac87d-ce00-4c3a-b050-b03709fe3e68.jpeg?h=368&w=240&dpr=2,woman wearing a dark gray ribbed knit midi wrap dress with long sleeves and a self-tie belt.
long_sleeve_dress_1918.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/44d1ae7e-129d-4e34-9a7a-33331c8738a7.jpeg?h=368&w=240&dpr=2,"woman wearing a light purple maxi dress with a cream-colored, repeating pattern.  the dress has long sleeves and cutouts at the sides.  the fabric appears to be a structured knit or woven material."
long_sleeve_dress_1316.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/595cbb54-b598-4818-9cf9-25ec0b41cf19.jpeg?h=368&w=240&dpr=2,"woman wearing a light blue, vertically striped, midi-length shirt dress with a self-tie bow at the waist.  the dress has long sleeves and a collared shirt neckline."
long_sleeve_dress_1756.jpg,dress,long sleeve dress,https://n.nordstrommedia.com/it/d164427a-d8f2-4415-b0a0-a0f8c5060328.jpeg?h=368&w=240&dpr=2,"woman wearing a burgundy velvet dress with a wrap-style bodice, three-quarter sleeves, and a knee-length skirt.  the dress features a jeweled embellishment at the waist and a draped detail at the side."
