filename,masterCategory,garment,url
short_sleeve_top_0.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/e23ec316027fea04777a336ef8091706_images.jpg
short_sleeve_top_1.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/67a174e7fb0a749eb882903f4795f03a_images.jpg
short_sleeve_top_2.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/ad09deb93d4d3bb48f7d73a374e20f6b_images.jpg
short_sleeve_top_3.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/938ea072235ee4f54ebf9b18d1716d8f_images.jpg
short_sleeve_top_4.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/bede87d1f39eb0c758332db44c6f4e46_images.jpg
short_sleeve_top_5.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/fc07f7d59677fbded03366d7049a6712_images.jpg
short_sleeve_top_6.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/5a5e35d4ee05aaf055c7ec43d80c0225_images.jpg
short_sleeve_top_7.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/3fa9f0787d4a9db91e0cb05244fea10b_images.jpg
short_sleeve_top_8.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/cf13eda4479166d4e9b0373f4b783535_images.jpg
short_sleeve_top_9.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/a8c8499c19f23611b26b3ac8f16205b8_images.jpg
short_sleeve_top_10.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/667b7b8afe56a812acfefb724a99990c_images.jpg
short_sleeve_top_11.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/85dc39d3a47f89a10b03e244f157cdbe_images.jpg
short_sleeve_top_12.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/9401260bc6f1da314ef28e5502ecab8c_images.jpg
short_sleeve_top_13.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/75f7d7d6c7d3c3fd00b754e457455c97_images.jpg
short_sleeve_top_14.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/14380fd6fb1677eaa01692f4d70a4470_images.jpg
short_sleeve_top_15.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/b8c3c7b43dca66b6c9c76e075b183bb1_images.jpg
short_sleeve_top_16.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/Timberland-Mens-Pique-Polo-Blue-T-shirt_dc702ac0d02be0a56bc62016570ae5ef_images.JPG
short_sleeve_top_17.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/b002a98a220d49eb31f2a486cef27eca_images.jpg
short_sleeve_top_18.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/8fd7a806f6ba8de5b1198eed1378fa34_images.jpg
short_sleeve_top_19.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/Myntra-Men-Purple-T-shirt_fd23973d9a5a3c6b38de185a3fbe392e_images.jpg
short_sleeve_top_20.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/e41660c9240f281a054110ad31cf8a15_images.jpg
short_sleeve_top_21.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/12ba088e742eada1146c2762c1905cf2_images.jpg
short_sleeve_top_22.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/c4b58a0021842dce6adae92adc5f228c_images.jpg
short_sleeve_top_23.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/6cd1b80a6b48ed3dae7ece2a110b3763_images.jpg
short_sleeve_top_24.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/fb9b691d292cba1002108d36e960cfb4_images.jpg
short_sleeve_top_25.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/fd0ea1901127227f492da819a4000809_images.jpg
short_sleeve_top_26.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/2a33dfe1b0303917d721fae79a8449e5_images.jpg
short_sleeve_top_27.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/de76a9c50be31da2b60ec74ba0a05e54_images.jpg
short_sleeve_top_28.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/3a0fed30ea93979a69dafdec0d6fea0f_images.jpg
short_sleeve_top_29.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/af27f3e541aefb5c586c96eebfee9a38_images.jpg
short_sleeve_top_30.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/239b82f5f529400adacb3d0daecd561a_images.jpg
short_sleeve_top_31.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/7c24d49532b50002fe859eb9afd56b63_images.jpg
short_sleeve_top_32.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/cdbae9acd2b60338025f3e17bc8647ff_images.jpg
short_sleeve_top_33.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/a26d2bd0db437bea4d1599bba96298bb_images.jpg
short_sleeve_top_34.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/2ff692b124f12196c2aaffda4cf18944_images.jpg
short_sleeve_top_35.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/9eb7ae8020b8ce892daad5ae5c7df7e4_images.jpg
short_sleeve_top_36.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/70e94b5445733d5a18e2053c354e06a5_images.jpg
short_sleeve_top_37.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/ac26e738dab802745b0e856e9536aada_images.jpg
short_sleeve_top_38.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/a0cb338b58b99af18623b19033f60079_images.jpg
short_sleeve_top_39.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/be6fcc751b3cdb932e9a9231da71722f_images.jpg
short_sleeve_top_40.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/c0796d8bd2a0e3680cc3c093df879d3b_images.jpg
short_sleeve_top_41.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/5c751745fe84f403c47ecc8de29204fc_images.jpg
short_sleeve_top_42.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/14e43d4d6fb84f6da2e09ec6245240f6_images.jpg
short_sleeve_top_43.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/97bccd72b9864aa5db14ada611b309a0_images.jpg
short_sleeve_top_44.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/a1a11cd5f88fd9e81f7bf2fa30ad27a8_images.jpg
short_sleeve_top_45.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Cream-T-Shirt_54c3b508cff27aeff75f9e871a4aeeac_images.jpg
short_sleeve_top_46.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/305ddf158ef8b1169139e8f6883ec554_images.jpg
short_sleeve_top_47.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/c5f45438bf56a29f67e987e79a473651_images.jpg
short_sleeve_top_48.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/24505e77ca3c09123db1c2deed122acb_images.jpg
short_sleeve_top_49.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/0bf7aff717a9868ae6fd904ef15b43eb_images.jpg
short_sleeve_top_50.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/a6cbb2937fa83e8e6e564a42cf2fb996_images.jpg
short_sleeve_top_51.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/7e8f2277644e4c00cbc830f06c4d8810_images.jpg
short_sleeve_top_52.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/fb6a801d9ab8a0a7be158cc54b55bb7f_images.jpg
short_sleeve_top_53.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/f6fab6d66dcd4dd00a96587dd0199474_images.jpg
short_sleeve_top_54.jpg,top,short sleeve top,http://assets.myntassets.com/v1/images/style/properties/c52cbe5a342e72dd297381897f1c0e97_images.jpg
